dataset_split,source_video,file_name,label,label_name,participant_id,view_angle,camera_type,duration_sec,fps,width,height,total_frames,file_size_mb,sha256,notes
raw,dataset/raw_videos/correct/P01_correct_001.mp4,P01_correct_001.mp4,0,correct,P01,unknown,training_video,54.801,29.981,1920,1080,1643,113.167,,
raw,dataset/raw_videos/correct/P01_correct_002.mp4,P01_correct_002.mp4,0,correct,P01,unknown,training_video,80.807,29.96,1920,1080,2421,166.463,,
raw,dataset/raw_videos/correct/P01_correct_003.mp4,P01_correct_003.mp4,0,correct,P01,unknown,training_video,66.38,29.964,1920,1080,1989,136.951,,
raw,dataset/raw_videos/correct/P01_correct_004.mp4,P01_correct_004.mp4,0,correct,P01,unknown,training_video,57.026,29.934,1920,1080,1707,117.402,,
raw,dataset/raw_videos/correct/P01_correct_005.mp4,P01_correct_005.mp4,0,correct,P01,unknown,training_video,98.898,29.97,1920,1080,2964,203.391,,
raw,dataset/raw_videos/correct/P01_correct_front_001.mp4,P01_correct_front_001.mp4,0,correct,P01,front,training_video,25.533,30.0,1920,1080,766,175.995,,
raw,dataset/raw_videos/correct/P01_correct_front_002.mp4,P01_correct_front_002.mp4,0,correct,P01,front,training_video,38.168,29.947,1920,1080,1143,262.888,,
raw,dataset/raw_videos/correct/P01_correct_front_003.mp4,P01_correct_front_003.mp4,0,correct,P01,front,training_video,68.577,29.937,1920,1080,2053,471.896,,
raw,dataset/raw_videos/correct/P01_correct_side_30_001.mp4,P01_correct_side_30_001.mp4,0,correct,P01,side_30,training_video,75.333,30.013,1920,1080,2261,518.944,,
raw,dataset/raw_videos/correct/P01_correct_side_90_001.mp4,P01_correct_side_90_001.mp4,0,correct,P01,side_90,training_video,79.159,29.978,1920,1080,2373,543.863,,
raw,dataset/raw_videos/correct/P01_correct_side_90_002.mp4,P01_correct_side_90_002.mp4,0,correct,P01,side_90,training_video,87.065,29.966,1920,1080,2609,597.949,,
raw,dataset/raw_videos/correct/P01_correct_side_90_003.mp4,P01_correct_side_90_003.mp4,0,correct,P01,side_90,training_video,178.923,30.002,1280,720,5368,261.746,,
