threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,true_negative,false_positive,false_negative,true_positive,model_id,feature_set,class_weight,feature_count
0.3,0.6005267778753293,0.6038428934727325,0.8363992172211351,0.7013455858221201,0.5491486047069514,0.161791839204941,599,1402,418,2137,ann_raw_99_none,raw_99,none,99
0.31,0.6009657594381036,0.6042432814710043,0.8360078277886497,0.7014778325123153,0.5499447402138016,0.16288448199110678,602,1399,419,2136,ann_raw_99_none,raw_99,none,99
0.32,0.6018437225636524,0.6050467819676779,0.8352250489236791,0.7017428477474515,0.5515314898803264,0.16506378231492425,608,1393,421,2134,ann_raw_99_none,raw_99,none,99
0.33,0.6018437225636524,0.6052257881283726,0.8340508806262231,0.7014483212639895,0.5519758075358155,0.16510985527315356,611,1390,424,2131,ann_raw_99_none,raw_99,none,99
0.34,0.602721685689201,0.6059743954480796,0.8336594911937377,0.7018121911037891,0.5534044518964047,0.16726477725754224,616,1385,425,2130,ann_raw_99_none,raw_99,none,99
0.35,0.6031606672519754,0.6065012831479898,0.8324853228962819,0.7017485978225009,0.5544808562882997,0.168377192267478,621,1380,428,2127,ann_raw_99_none,raw_99,none,99
0.36,0.6035996488147498,0.6070305801657616,0.8313111545988259,0.7016848364717542,0.5555513783405206,0.16948779792241103,626,1375,431,2124,ann_raw_99_none,raw_99,none,99
0.37,0.603819139596137,0.6073883161512027,0.8301369863013699,0.7015048784521251,0.5562989318851164,0.1700661411066964,630,1371,434,2121,ann_raw_99_none,raw_99,none,99
0.38,0.6049165935030729,0.6083213773314203,0.8297455968688845,0.7019867549668874,0.5580246274834437,0.17273089464070485,636,1365,435,2120,ann_raw_99_none,raw_99,none,99
0.39,0.6053555750658473,0.608670686190066,0.8297455968688845,0.7022192779065916,0.5586568087646165,0.17378840842546317,638,1363,435,2120,ann_raw_99_none,raw_99,none,99
0.4,0.6062335381913959,0.6094334196146103,0.8293542074363992,0.7025862068965517,0.5600593372145096,0.1759140622781509,643,1358,436,2119,ann_raw_99_none,raw_99,none,99
0.41,0.6066725197541704,0.6098473941837028,0.8289628180039139,0.7027206370272063,0.5608285416005033,0.1769816133579063,646,1355,437,2118,ann_raw_99_none,raw_99,none,99
0.42,0.6082089552238806,0.6110790536641661,0.8289628180039139,0.7035376183358246,0.5630273015651948,0.1806599743349256,653,1348,437,2118,ann_raw_99_none,raw_99,none,99
0.43,0.6095258999122037,0.6122035858877964,0.8285714285714286,0.7041410277731581,0.565042440314459,0.18381390463879876,660,1341,438,2117,ann_raw_99_none,raw_99,none,99
0.44,0.6104038630377524,0.6129779837775203,0.8281800391389432,0.7045114033627434,0.5664263941129337,0.1859138044223004,665,1336,439,2116,ann_raw_99_none,raw_99,none,99
0.45,0.6115013169446883,0.613933236574746,0.8277886497064579,0.705,0.5681169665809769,0.18852857517908592,671,1330,440,2115,ann_raw_99_none,raw_99,none,99
