threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,true_negative,false_positive,false_negative,true_positive,source_video,participant_id,view_angle,label,n
0.55,0.9608938547486033,0.0,0.0,0.0,0.49002849002849,0.0,172,7,0,0,dataset\external_videos\correct\P06_correct_front_001.mp4,P06,front,0,179
0.55,1.0,0.0,0.0,0.0,1.0,0.0,100,0,0,0,dataset\external_videos\correct\P06_correct_front_002.mp4,P06,front,0,100
0.55,0.8471337579617835,0.0,0.0,0.0,0.4586206896551724,0.0,133,24,0,0,dataset\external_videos\correct\P06_correct_side_30_001.mp4,P06,side_30,0,157
0.55,0.9578947368421052,0.0,0.0,0.0,0.489247311827957,0.0,182,8,0,0,dataset\external_videos\correct\P06_correct_side_90_001.mp4,P06,side_90,0,190
0.55,1.0,0.0,0.0,0.0,1.0,0.0,160,0,0,0,dataset\external_videos\correct\P06_correct_side_90_002.mp4,P06,side_90,0,160
0.55,0.9488372093023256,0.0,0.0,0.0,0.48687350835322196,0.0,204,11,0,0,dataset\external_videos\correct\P07_correct_front_001.mp4,P07,front,0,215
0.55,1.0,0.0,0.0,0.0,1.0,0.0,197,0,0,0,dataset\external_videos\correct\P07_correct_side_30_001.mp4,P07,side_30,0,197
0.55,0.9097744360902256,0.0,0.0,0.0,0.4763779527559055,0.0,121,12,0,0,dataset\external_videos\correct\P07_correct_side_30_002.mp4,P07,side_30,0,133
0.55,0.8277511961722488,0.0,0.0,0.0,0.45287958115183247,0.0,173,36,0,0,dataset\external_videos\correct\P07_correct_side_90_001.mp4,P07,side_90,0,209
0.55,0.9956709956709957,0.0,0.0,0.0,0.49891540130151846,0.0,230,1,0,0,dataset\external_videos\correct\P07_correct_side_90_002.mp4,P07,side_90,0,231
0.55,0.4043478260869565,0.0,0.0,0.0,0.28792569659442724,0.0,93,137,0,0,dataset\external_videos\correct\P07_correct_side_90_003.mp4,P07,side_90,0,230
0.55,0.9957081545064378,1.0,0.9957081545064378,0.9978494623655914,0.4989247311827957,0.0,0,0,1,232,dataset\external_videos\incorrect\P06_incorrect_front_001.mp4,P06,front,1,233
0.55,0.9724770642201835,1.0,0.9724770642201835,0.986046511627907,0.4930232558139535,0.0,0,0,6,212,dataset\external_videos\incorrect\P06_incorrect_side_30_001.mp4,P06,side_30,1,218
0.55,0.6614583333333334,1.0,0.6614583333333334,0.7962382445141066,0.3981191222570533,0.0,0,0,65,127,dataset\external_videos\incorrect\P06_incorrect_side_30_002.mp4,P06,side_30,1,192
0.55,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,181,dataset\external_videos\incorrect\P06_incorrect_side_90_001.mp4,P06,side_90,1,181
0.55,0.021929824561403508,1.0,0.021929824561403508,0.04291845493562232,0.02145922746781116,0.0,0,0,223,5,dataset\external_videos\incorrect\P06_incorrect_side_90_002.mp4,P06,side_90,1,228
0.55,0.9940476190476191,1.0,0.9940476190476191,0.9970149253731343,0.49850746268656715,0.0,0,0,1,167,dataset\external_videos\incorrect\P07_incorrect_front_001.mp4,P07,front,1,168
0.55,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,201,dataset\external_videos\incorrect\P07_incorrect_front_002.mp4,P07,front,1,201
0.55,0.941747572815534,1.0,0.941747572815534,0.97,0.485,0.0,0,0,12,194,dataset\external_videos\incorrect\P07_incorrect_front_003.mp4,P07,front,1,206
0.55,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,210,dataset\external_videos\incorrect\P07_incorrect_side_30_001.mp4,P07,side_30,1,210
0.55,0.3025210084033613,1.0,0.3025210084033613,0.4645161290322581,0.23225806451612904,0.0,0,0,166,72,dataset\external_videos\incorrect\P07_incorrect_side_30_002.mp4,P07,side_30,1,238
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0,0,234,0,dataset\external_videos\incorrect\P07_incorrect_side_90_001.mp4,P07,side_90,1,234
0.55,0.967479674796748,1.0,0.967479674796748,0.9834710743801653,0.49173553719008267,0.0,0,0,8,238,dataset\external_videos\incorrect\P07_incorrect_side_90_002.mp4,P07,side_90,1,246
