n,threshold,accuracy,accuracy_ci_low,accuracy_ci_high,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,brier_score,false_positive,false_negative,source_video,participant_id,view_angle,label
160,0.5,0.0,0.0,0.023446195171505202,0.0,0.0,0.0,0.0,0.0,,,0.7265582,160,0,dataset\external_videos\correct\P06_correct_side_90_002.mp4,P06,side_90,0
190,0.5,0.07894736842105263,0.048424492181179855,0.1261586905217419,0.0,0.0,0.0,0.07317073170731707,0.0,,,0.6607931789473684,175,0,dataset\external_videos\correct\P06_correct_side_90_001.mp4,P06,side_90,0
230,0.5,0.3391304347826087,0.28103798925518225,0.4025082887521663,0.0,0.0,0.0,0.2532467532467532,0.0,,,0.3938591304347826,152,0,dataset\external_videos\correct\P07_correct_side_90_003.mp4,P07,side_90,0
157,0.5,0.4267515923566879,0.3520432197193,0.5049588233569173,0.0,0.0,0.0,0.29910714285714285,0.0,,,0.27758135031847136,90,0,dataset\external_videos\correct\P06_correct_side_30_001.mp4,P06,side_30,0
238,0.5,0.5840336134453782,0.5205645663043026,0.6448330466403696,1.0,0.5840336134453782,0.7374005305039788,0.3687002652519894,0.0,,,0.2651435966386555,0,99,dataset\external_videos\incorrect\P07_incorrect_side_30_002.mp4,P07,side_30,1
201,0.5,0.8159203980099502,0.7565941239777763,0.8633975551049631,1.0,0.8159203980099502,0.8986301369863013,0.44931506849315067,0.0,,,0.19443144278606964,0,37,dataset\external_videos\incorrect\P07_incorrect_front_002.mp4,P07,front,1
246,0.5,0.8861788617886179,0.8404149041751896,0.9200673668491681,1.0,0.8861788617886179,0.9396551724137931,0.4698275862068966,0.0,,,0.08427323577235772,0,28,dataset\external_videos\incorrect\P07_incorrect_side_90_002.mp4,P07,side_90,1
179,0.5,0.9050279329608939,0.8531795705078934,0.9398571999009239,0.0,0.0,0.0,0.4750733137829912,0.0,,,0.18136491620111733,17,0,dataset\external_videos\correct\P06_correct_front_001.mp4,P06,front,0
206,0.5,0.9466019417475728,0.9069274286719468,0.9699250342973694,1.0,0.9466019417475728,0.972568578553616,0.486284289276808,0.0,,,0.20514376699029124,0,11,dataset\external_videos\incorrect\P07_incorrect_front_003.mp4,P07,front,1
234,0.5,0.9487179487179487,0.9125167410009998,0.9704243620398982,1.0,0.9487179487179487,0.9736842105263158,0.4868421052631579,0.0,,,0.03364492307692307,0,12,dataset\external_videos\incorrect\P07_incorrect_side_90_001.mp4,P07,side_90,1
192,0.5,0.953125,0.9133280073164382,0.975145766560566,1.0,0.953125,0.976,0.488,0.0,,,0.034606000000000005,0,9,dataset\external_videos\incorrect\P06_incorrect_side_30_002.mp4,P06,side_30,1
100,0.5,0.97,0.9154806357094724,0.9897454759759611,0.0,0.0,0.0,0.49238578680203043,0.0,,,0.16518128,3,0,dataset\external_videos\correct\P06_correct_front_002.mp4,P06,front,0
233,0.5,0.9785407725321889,0.9507582285148872,0.9907998969517648,1.0,0.9785407725321889,0.9891540130151844,0.4945770065075922,0.0,,,0.1807775450643777,0,5,dataset\external_videos\incorrect\P06_incorrect_front_001.mp4,P06,front,1
209,0.5,0.9808612440191388,0.9518321236153588,0.9925327624068243,0.0,0.0,0.0,0.49516908212560384,0.0,,,0.08032145454545456,4,0,dataset\external_videos\correct\P07_correct_side_90_001.mp4,P07,side_90,0
168,0.5,0.9821428571428571,0.9488207456492024,0.9939086812991391,1.0,0.9821428571428571,0.990990990990991,0.4954954954954955,0.0,,,0.18408104761904762,0,3,dataset\external_videos\incorrect\P07_incorrect_front_001.mp4,P07,front,1
215,0.5,0.986046511627907,0.9597858662361385,0.9952434098721072,0.0,0.0,0.0,0.4964871194379391,0.0,,,0.16424081860465115,3,0,dataset\external_videos\correct\P07_correct_front_001.mp4,P07,front,0
197,0.5,0.9898477157360406,0.9637455234755838,0.9972114479249534,0.0,0.0,0.0,0.49744897959183676,0.0,,,0.1842811776649746,2,0,dataset\external_videos\correct\P07_correct_side_30_001.mp4,P07,side_30,0
218,0.5,0.9908256880733946,0.9671724136222418,0.9974804566645873,1.0,0.9908256880733946,0.9953917050691244,0.4976958525345622,0.0,,,0.015743266055045873,0,2,dataset\external_videos\incorrect\P06_incorrect_side_30_001.mp4,P06,side_30,1
231,0.5,0.9956709956709957,0.9758905320460086,0.9992354152631749,0.0,0.0,0.0,0.49891540130151846,0.0,,,0.08334718614718614,1,0,dataset\external_videos\correct\P07_correct_side_90_002.mp4,P07,side_90,0
181,0.5,1.0,0.979217547593473,1.0000000000000002,1.0,1.0,1.0,1.0,0.0,,,0.014777812154696132,0,0,dataset\external_videos\incorrect\P06_incorrect_side_90_001.mp4,P06,side_90,1
228,0.5,1.0,0.9834306649024968,1.0000000000000002,1.0,1.0,1.0,1.0,0.0,,,0.01733122807017544,0,0,dataset\external_videos\incorrect\P06_incorrect_side_90_002.mp4,P06,side_90,1
210,0.5,1.0,0.9820359492407167,1.0,1.0,1.0,1.0,1.0,0.0,,,0.14167908571428572,0,0,dataset\external_videos\incorrect\P07_incorrect_side_30_001.mp4,P07,side_30,1
133,0.5,1.0,0.9719276683119282,1.0,0.0,0.0,0.0,1.0,0.0,,,0.15878339849624062,0,0,dataset\external_videos\correct\P07_correct_side_30_002.mp4,P07,side_30,0
