threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,predicted_incorrect_rate,seed,algorithm_family,algorithm,model_id,feature_set,class_weight,train_seconds,predict_seconds,epochs_run
0.5,0.8733538191395961,0.8671121009651076,0.9142857142857143,0.8900742998666412,0.8703542609869059,0.742402326309096,0.9470290295165529,0.9572887293121074,1643,358,219,2336,0.5913081650570676,42,HistGradientBoosting,hist_gradient_boosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,1.8140590999973938,0.016805500024929643,
0.5,0.8608428446005267,0.8712794742945497,0.8821917808219178,0.8767016725009724,0.8585019697517456,0.7170912829932036,0.9364298281387683,0.9466659802100535,1668,333,301,2254,0.5678226514486392,43,HistGradientBoosting,hist_gradient_boosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,0.5047490999568254,0.017085200059227645,
0.5,0.8582089552238806,0.8655687476062811,0.8845401174168297,0.8749516066589237,0.8556207602478603,0.7115088127656419,0.9259845615352793,0.9403847954531991,1650,351,295,2260,0.5730904302019315,44,HistGradientBoosting,hist_gradient_boosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,0.47933959995862097,0.019039200036786497,
0.5,0.8615013169446883,0.8734472049689441,0.8806262230919765,0.8770220229974663,0.8592595671380198,0.7185567394229413,0.9411088976059916,0.9553086339313654,1675,326,305,2250,0.5654082528533801,45,HistGradientBoosting,hist_gradient_boosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,0.5133318000007421,0.018628399935550988,
0.5,0.8472344161545216,0.876773408998784,0.8465753424657534,0.8614097968936678,0.8456193238747067,0.6918820402791982,0.9324916797961097,0.9475738182493836,1697,304,392,2163,0.5414837576821774,46,HistGradientBoosting,hist_gradient_boosting,hist_gradient_boosting_balanced_sample_weight__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced_sample_weight,0.6947528999298811,0.025876000057905912,
0.5,0.8386742756804214,0.8489263803680982,0.8665362035225049,0.8576409064497386,0.8357589186591565,0.6717515040875597,0.9172490075901383,0.9421897896312095,1607,394,341,2214,0.57243195785777,42,Random Forest,random_forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,2.061819899943657,0.060336400056257844,
0.5,0.8283582089552238,0.8323959505061868,0.8688845401174168,0.8502489467636921,0.8246103345643654,0.6502572795190803,0.9166416791604199,0.9417021426684635,1554,447,335,2220,0.5853819139596137,43,Random Forest,random_forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,2.0112868000287563,0.05990409990772605,
0.5,0.827260755048288,0.8689482470784641,0.8148727984344423,0.8410422136942032,0.8259524935329944,0.653946826481575,0.9180429354794226,0.9425291629203421,1687,314,473,2082,0.5258999122036875,44,Random Forest,random_forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,2.055097999982536,0.05988069996237755,
0.5,0.8325285338015803,0.8396512509476877,0.8669275929549902,0.8530714423262084,0.8291894593616242,0.6589493759067012,0.9233334409116383,0.9443996913342776,1578,423,340,2215,0.5790166812993854,45,Random Forest,random_forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,2.171236699912697,0.1303351999958977,
0.5,0.8487708516242318,0.8491766467065869,0.8880626223091976,0.8681844270135833,0.845417824832403,0.6919969346318154,0.9234018998328625,0.9448752236853099,1598,403,286,2269,0.5864793678665496,46,Random Forest,random_forest,random_forest_balanced__ergonomic_v2_with_view,ergonomic_v2_with_view,balanced,2.057715000002645,0.07027879997622222,
0.5,0.681079894644425,0.6507936507936508,0.9307240704500979,0.7659848606861008,0.6327340769155616,0.3649746293114351,0.6843196796904875,0.7200515805815446,725,1276,177,2378,0.8020193151887621,42,Decision Tree,decision_tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,1.015260500018485,0.002404400031082332,
0.5,0.681079894644425,0.6507936507936508,0.9307240704500979,0.7659848606861008,0.6327340769155616,0.3649746293114351,0.6847355187376958,0.7204863928152806,725,1276,177,2378,0.8020193151887621,43,Decision Tree,decision_tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,1.0619315000949427,0.0023384999949485064,
0.5,0.681079894644425,0.6507936507936508,0.9307240704500979,0.7659848606861008,0.6327340769155616,0.3649746293114351,0.6847355187376958,0.7204863928152806,725,1276,177,2378,0.8020193151887621,44,Decision Tree,decision_tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,1.0589151999447495,0.0022830000380054116,
0.5,0.681079894644425,0.6507936507936508,0.9307240704500979,0.7659848606861008,0.6327340769155616,0.3649746293114351,0.6849434382612999,0.7207036922448931,725,1276,177,2378,0.8020193151887621,45,Decision Tree,decision_tree,decision_tree_none__combined_v2_with_view,combined_v2_with_view,none,1.0176910000154749,0.002571699908003211,
