threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,n_test,model_id,algorithm,algorithm_family,feature_set,class_weight,threshold_source,feature_count,train_seconds,predict_seconds
0.05,0.5403863037752414,0.567814062959694,0.7553816046966731,0.6483036614040981,0.49261288200033915,0.02422749487513918,0.5260659298530773,0.5451663051072879,532,1469,625,1930,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.06,0.5485074626865671,0.575226586102719,0.7452054794520548,0.6492753623188405,0.5078837544578496,0.047382173811685045,0.5260659298530773,0.5451663051072879,595,1406,651,1904,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.07,0.5575065847234416,0.5836177474402731,0.7362035225048924,0.6510903426791277,0.5232056392459825,0.07149449745190219,0.5260659298530773,0.5451663051072879,659,1342,674,1881,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.08,0.5612379280070237,0.5884223918575063,0.7240704500978473,0.64923670819442,0.5317674897549891,0.08305513441486137,0.5260659298530773,0.5451663051072879,707,1294,705,1850,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.09,0.5656277436347673,0.5933246921581335,0.7166340508806263,0.649175678071264,0.5395114921615323,0.09495793784937234,0.5260659298530773,0.5451663051072879,746,1255,724,1831,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.1,0.5704565408252853,0.5987450462351387,0.7095890410958904,0.6494716102453878,0.5474617898209087,0.1076336632867547,0.5260659298530773,0.5451663051072879,786,1215,742,1813,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.11,0.5750658472344161,0.6038939241356159,0.7041095890410959,0.6501626310083123,0.5545391131564759,0.11934680140128472,0.5260659298530773,0.5451663051072879,821,1180,756,1799,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.12,0.5768217734855136,0.6069600818833163,0.6962818003913894,0.6485599708348524,0.5584222909883032,0.1249172538279228,0.5260659298530773,0.5451663051072879,849,1152,776,1779,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.13,0.5798946444249341,0.611323376172282,0.6888454011741683,0.6477732793522267,0.5636908811116762,0.13338913009957867,0.5260659298530773,0.5451663051072879,882,1119,795,1760,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.14,0.5814310798946444,0.6148936170212767,0.67866927592955,0.6452093023255814,0.5674534603680356,0.1389213173631177,0.5260659298530773,0.5451663051072879,915,1086,821,1734,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.15,0.5845039508340649,0.6188936781609196,0.6743639921722113,0.6454392208278704,0.5718582268994905,0.14672503642742626,0.5260659298530773,0.5451663051072879,940,1061,832,1723,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
