participant_id,view_angle,source_video,label,n,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,true_negative,false_positive,false_negative,true_positive
P06,side_90,dataset\external_videos\correct\P06_correct_side_90_001.mp4,0,190,0.07894736842105263,0.0,0.0,0.0,15,175,0,0
P06,side_90,dataset\external_videos\correct\P06_correct_side_90_002.mp4,0,160,0.0,0.0,0.0,0.0,0,160,0,0
P07,side_90,dataset\external_videos\correct\P07_correct_side_90_003.mp4,0,230,0.3391304347826087,0.0,0.0,0.0,78,152,0,0
P06,side_30,dataset\external_videos\correct\P06_correct_side_30_001.mp4,0,157,0.4267515923566879,0.0,0.0,0.0,67,90,0,0
P06,front,dataset\external_videos\correct\P06_correct_front_001.mp4,0,179,0.9050279329608939,0.0,0.0,0.0,162,17,0,0
P07,side_90,dataset\external_videos\correct\P07_correct_side_90_001.mp4,0,209,0.9808612440191388,0.0,0.0,0.0,205,4,0,0
P07,front,dataset\external_videos\correct\P07_correct_front_001.mp4,0,215,0.986046511627907,0.0,0.0,0.0,212,3,0,0
P06,front,dataset\external_videos\correct\P06_correct_front_002.mp4,0,100,0.97,0.0,0.0,0.0,97,3,0,0
P07,side_30,dataset\external_videos\correct\P07_correct_side_30_001.mp4,0,197,0.9898477157360406,0.0,0.0,0.0,195,2,0,0
P07,side_90,dataset\external_videos\correct\P07_correct_side_90_002.mp4,0,231,0.9956709956709957,0.0,0.0,0.0,230,1,0,0
P07,side_30,dataset\external_videos\incorrect\P07_incorrect_side_30_002.mp4,1,238,0.5840336134453782,1.0,0.5840336134453782,0.7374005305039788,0,0,99,139
P07,front,dataset\external_videos\incorrect\P07_incorrect_front_002.mp4,1,201,0.8159203980099502,1.0,0.8159203980099502,0.8986301369863013,0,0,37,164
P07,side_90,dataset\external_videos\incorrect\P07_incorrect_side_90_002.mp4,1,246,0.8861788617886179,1.0,0.8861788617886179,0.9396551724137931,0,0,28,218
P07,side_90,dataset\external_videos\incorrect\P07_incorrect_side_90_001.mp4,1,234,0.9487179487179487,1.0,0.9487179487179487,0.9736842105263158,0,0,12,222
P07,front,dataset\external_videos\incorrect\P07_incorrect_front_003.mp4,1,206,0.9466019417475728,1.0,0.9466019417475728,0.972568578553616,0,0,11,195
P06,side_30,dataset\external_videos\incorrect\P06_incorrect_side_30_002.mp4,1,192,0.953125,1.0,0.953125,0.976,0,0,9,183
P06,front,dataset\external_videos\incorrect\P06_incorrect_front_001.mp4,1,233,0.9785407725321889,1.0,0.9785407725321889,0.9891540130151844,0,0,5,228
P07,front,dataset\external_videos\incorrect\P07_incorrect_front_001.mp4,1,168,0.9821428571428571,1.0,0.9821428571428571,0.990990990990991,0,0,3,165
P06,side_30,dataset\external_videos\incorrect\P06_incorrect_side_30_001.mp4,1,218,0.9908256880733946,1.0,0.9908256880733946,0.9953917050691244,0,0,2,216
P06,side_90,dataset\external_videos\incorrect\P06_incorrect_side_90_002.mp4,1,228,1.0,1.0,1.0,1.0,0,0,0,228
P07,side_30,dataset\external_videos\incorrect\P07_incorrect_side_30_001.mp4,1,210,1.0,1.0,1.0,1.0,0,0,0,210
P06,side_90,dataset\external_videos\incorrect\P06_incorrect_side_90_001.mp4,1,181,1.0,1.0,1.0,1.0,0,0,0,181
P07,side_30,dataset\external_videos\correct\P07_correct_side_30_002.mp4,0,133,1.0,0.0,0.0,0.0,133,0,0,0
