threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set,feature_count,train_seconds,predict_seconds
0.5,0.8645741878841089,0.8588888888888889,0.9076320939334638,0.8825880114176974,0.8613095618405573,0.724444197369675,0.9491293492197149,0.9620879770486879,1620,381,236,2319,hist_gradient_boosting_none__ergonomic_v2_with_view,hist_gradient_boosting,none,ergonomic_v2_with_view,31,0.884,0.026
0.5,0.8465759438103599,0.8274523641496119,0.9178082191780822,0.8702913341992948,0.8412697605726531,0.68927927847618,0.9303931204652076,0.9526466487202077,1512,489,210,2345,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2,27,0.644,0.021
0.5,0.8388937664618086,0.8236757909704941,0.9068493150684932,0.863263785394933,0.8336083884239622,0.672904177368041,0.9095224403453851,0.9334511788566117,1505,496,238,2317,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view,31,2.283,0.09
0.5,0.809262510974539,0.7813751668891856,0.9162426614481409,0.8434516303368762,0.7997095276087638,0.6159309322408412,0.8405925217430423,0.8499465610940931,1346,655,214,2341,extra_trees_balanced__ergonomic_14,extra_trees,balanced,ergonomic_14,14,0.556,0.08
0.5,0.8244073748902546,0.851140456182473,0.8324853228962819,0.8417095370003957,0.8222840440053729,0.6448219785580133,0.9032818228850351,0.9269755984454222,1629,372,428,2127,random_forest_none__ergonomic_v2_with_view,random_forest,none,ergonomic_v2_with_view,31,2.157,0.08
0.5,0.8217734855136084,0.8495788206979543,0.8289628180039139,0.8391442155309033,0.8196705329623021,0.6396511235606851,0.8843984074498954,0.9141659207426629,1626,375,437,2118,extra_trees_balanced__ergonomic_v2,extra_trees,balanced,ergonomic_v2,27,0.646,0.091
0.5,0.8000438981562774,0.769155206286837,0.9193737769080235,0.8375824567659119,0.7887598267272322,0.5986470156046828,0.8331711834884906,0.8524628350268544,1296,705,206,2349,extra_trees_none__ergonomic_14,extra_trees,none,ergonomic_14,14,0.506,0.07
0.5,0.8182616330114135,0.8557890399670375,0.8129158512720157,0.8338016860698515,0.8166587122843204,0.6346279685304789,0.903880740647289,0.9288212646145737,1651,350,478,2077,random_forest_balanced__ergonomic_v2,random_forest,balanced,ergonomic_v2,27,2.768,0.08
0.5,0.7875329236172081,0.7570456754130224,0.9146771037181997,0.8284296348812478,0.7747335494290966,0.5732242600655719,0.8736639508034632,0.8971629719745762,1251,750,218,2337,random_forest_balanced__normalized_99,random_forest,balanced,normalized_99,99,5.27,0.101
0.5,0.8042142230026339,0.8324670131947222,0.8148727984344423,0.8235759493670886,0.8018274224152997,0.6038850022441548,0.8823164738570048,0.9051901070655095,1582,419,473,2082,random_forest_none__combined_v2_with_view,random_forest,none,combined_v2_with_view,130,6.077,0.124
0.5,0.8046532045654082,0.8438661710037175,0.7996086105675146,0.8211414790996785,0.8029788633409418,0.607369194078694,0.9030924850686203,0.9304300686051834,1623,378,512,2043,random_forest_balanced__combined_v2,random_forest,balanced,combined_v2,126,6.442,0.113
0.5,0.7607550482879719,0.7082740972419675,0.9749510763209394,0.8204874835309618,0.7309674259760073,0.5467162444270369,0.8929374842911225,0.916143760074028,975,1026,64,2491,extra_trees_balanced__combined_v2,extra_trees,balanced,combined_v2,126,0.958,0.122
0.5,0.7730465320456541,0.7410459587955626,0.915068493150685,0.8189141856392295,0.7574876630724072,0.5450212154167405,0.8691622877406697,0.8979635876162333,1184,817,217,2338,hist_gradient_boosting_none__combined_v2,hist_gradient_boosting,none,combined_v2,126,1.794,0.023
0.5,0.7947761194029851,0.8232242617717478,0.8074363992172211,0.8152539023908318,0.7922233471470328,0.5846339741117922,0.8808251451573625,0.90391515450921,1558,443,492,2063,random_forest_balanced__combined_v2_with_view,random_forest,balanced,combined_v2_with_view,130,6.198,0.123
0.5,0.7559262510974539,0.727530747398297,0.90293542074364,0.8057981138665735,0.7386935046592171,0.5083424695252546,0.895091788743593,0.9294429607779945,1137,864,248,2307,extra_trees_balanced__ergonomic_v2_with_view,extra_trees,balanced,ergonomic_v2_with_view,31,0.628,0.092
0.5,0.7363915715539947,0.6902754356379989,0.961252446183953,0.8035334532962539,0.7015333155110812,0.4925987834060463,0.9069879932832019,0.9294579499227021,899,1102,99,2456,extra_trees_none__combined_v2_with_view,extra_trees,none,combined_v2_with_view,130,0.945,0.134
