source_video,error_type,frame_index,timestamp_sec,label,pred_label,prob_incorrect,exported_frame,export_success
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,882,29.423694,0,1,0.964,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_01_frame_882.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,868,28.956651,0,1,0.964,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_02_frame_868.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,854,28.489609,0,1,0.964,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_03_frame_854.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2548,85.001783,0,1,0.964,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_04_frame_2548.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2576,85.935868,0,1,0.96,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_05_frame_2576.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,896,29.890737,0,1,0.96,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_06_frame_896.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2534,84.53474,0,1,0.96,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_07_frame_2534.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2562,85.468826,0,1,0.956,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_08_frame_2562.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2520,84.067697,0,1,0.956,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_09_frame_2520.jpg,True
dataset\external_videos\correct\P06_correct_side_90_001.mp4,false_positive,2282,76.12797,0,1,0.956,reports\figures\model_improvement_error_frames\false_positive\P06_correct_side_90_001_10_frame_2282.jpg,True
