threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set
0.3,0.8037752414398596,0.7644062400509392,0.9397260273972603,0.8430477528089888,0.7906690754677262,0.6112428588985374,0.9303931204652076,0.9526466487202077,1261,740,154,2401,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.31,0.8083845478489904,0.7695512820512821,0.9397260273972603,0.8461674008810572,0.7960834094891175,0.6200063523788821,0.9303931204652076,0.9526466487202077,1282,719,154,2401,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.32,0.8107989464442493,0.7724493080141616,0.9393346379647749,0.847756976333451,0.7989509519348414,0.6244823489013077,0.9303931204652076,0.9526466487202077,1294,707,155,2400,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.33,0.8162862159789289,0.7790773229369721,0.9385518590998043,0.8514113261139712,0.8054124753593713,0.6347058841098109,0.9303931204652076,0.9526466487202077,1321,680,157,2398,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.34,0.8169446883230904,0.7803844900619095,0.9373776908023483,0.8517069701280228,0.8063007327704335,0.6356402997929622,0.9303931204652076,0.9526466487202077,1327,674,160,2395,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.35,0.8180421422300264,0.7829508196721311,0.9346379647749511,0.8520963425512935,0.8078559842211843,0.6370186278195629,0.9303931204652076,0.9526466487202077,1339,662,167,2388,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.36,0.8211150131694469,0.7871287128712872,0.9334637964774951,0.8540734109221128,0.8114994216504525,0.6426143827335092,0.9303931204652076,0.9526466487202077,1356,645,170,2385,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.37,0.8226514486391572,0.7897180762852405,0.9318982387475538,0.8549371633752244,0.8134087284973242,0.6451922531369476,0.9303931204652076,0.9526466487202077,1367,634,174,2381,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.38,0.8239683933274803,0.7916805324459235,0.9311154598825832,0.8557553956834533,0.8149835536975825,0.6475455976862298,0.9303931204652076,0.9526466487202077,1375,626,176,2379,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.39,0.8261633011413521,0.7953098827470687,0.9291585127201566,0.8570397111913357,0.8176575935575939,0.651346216372866,0.9303931204652076,0.9526466487202077,1390,611,181,2374,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.4,0.8276997366110623,0.7983816587997303,0.9268101761252446,0.8578156131135664,0.8196067762031212,0.6538325932672363,0.9303931204652076,0.9526466487202077,1403,598,187,2368,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.41,0.8292361720807726,0.8002703616086516,0.9268101761252446,0.8589046064562931,0.8213366834393749,0.6568079850989327,0.9303931204652076,0.9526466487202077,1410,591,187,2368,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.42,0.83099209833187,0.8032619775739042,0.9252446183953034,0.85994907238996,0.823444375707985,0.6599152982610328,0.9303931204652076,0.9526466487202077,1422,579,191,2364,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.43,0.8336259877085163,0.8069695934403827,0.9244618395303327,0.861729295877417,0.8264569344400858,0.664893067796536,0.9303931204652076,0.9526466487202077,1436,565,193,2362,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
