threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,source_video,participant_id,view_angle,label,n
0.76,0.9050279329608939,0.0,0.0,0.0,0.4750733137829912,0.0,,,162,17,0,0,dataset\external_videos\correct\P06_correct_front_001.mp4,P06,front,0,179
0.76,1.0,0.0,0.0,0.0,1.0,0.0,,,100,0,0,0,dataset\external_videos\correct\P06_correct_front_002.mp4,P06,front,0,100
0.76,0.6815286624203821,0.0,0.0,0.0,0.4053030303030303,0.0,,,107,50,0,0,dataset\external_videos\correct\P06_correct_side_30_001.mp4,P06,side_30,0,157
0.76,0.9473684210526315,0.0,0.0,0.0,0.4864864864864865,0.0,,,180,10,0,0,dataset\external_videos\correct\P06_correct_side_90_001.mp4,P06,side_90,0,190
0.76,0.975,0.0,0.0,0.0,0.4936708860759494,0.0,,,156,4,0,0,dataset\external_videos\correct\P06_correct_side_90_002.mp4,P06,side_90,0,160
0.76,1.0,0.0,0.0,0.0,1.0,0.0,,,215,0,0,0,dataset\external_videos\correct\P07_correct_front_001.mp4,P07,front,0,215
0.76,0.9949238578680203,0.0,0.0,0.0,0.49872773536895676,0.0,,,196,1,0,0,dataset\external_videos\correct\P07_correct_side_30_001.mp4,P07,side_30,0,197
0.76,1.0,0.0,0.0,0.0,1.0,0.0,,,133,0,0,0,dataset\external_videos\correct\P07_correct_side_30_002.mp4,P07,side_30,0,133
0.76,0.9760765550239234,0.0,0.0,0.0,0.4939467312348668,0.0,,,204,5,0,0,dataset\external_videos\correct\P07_correct_side_90_001.mp4,P07,side_90,0,209
0.76,1.0,0.0,0.0,0.0,1.0,0.0,,,231,0,0,0,dataset\external_videos\correct\P07_correct_side_90_002.mp4,P07,side_90,0,231
0.76,0.7043478260869566,0.0,0.0,0.0,0.413265306122449,0.0,,,162,68,0,0,dataset\external_videos\correct\P07_correct_side_90_003.mp4,P07,side_90,0,230
0.76,0.9871244635193133,1.0,0.9871244635193133,0.9935205183585313,0.49676025917926564,0.0,,,0,0,3,230,dataset\external_videos\incorrect\P06_incorrect_front_001.mp4,P06,front,1,233
0.76,0.9770642201834863,1.0,0.9770642201834863,0.988399071925754,0.494199535962877,0.0,,,0,0,5,213,dataset\external_videos\incorrect\P06_incorrect_side_30_001.mp4,P06,side_30,1,218
0.76,0.984375,1.0,0.984375,0.9921259842519685,0.49606299212598426,0.0,,,0,0,3,189,dataset\external_videos\incorrect\P06_incorrect_side_30_002.mp4,P06,side_30,1,192
0.76,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0,181,dataset\external_videos\incorrect\P06_incorrect_side_90_001.mp4,P06,side_90,1,181
0.76,0.8289473684210527,1.0,0.8289473684210527,0.9064748201438849,0.45323741007194246,0.0,,,0,0,39,189,dataset\external_videos\incorrect\P06_incorrect_side_90_002.mp4,P06,side_90,1,228
0.76,0.9702380952380952,1.0,0.9702380952380952,0.9848942598187311,0.49244712990936557,0.0,,,0,0,5,163,dataset\external_videos\incorrect\P07_incorrect_front_001.mp4,P07,front,1,168
0.76,0.9900497512437811,1.0,0.9900497512437811,0.995,0.4975,0.0,,,0,0,2,199,dataset\external_videos\incorrect\P07_incorrect_front_002.mp4,P07,front,1,201
0.76,0.9514563106796117,1.0,0.9514563106796117,0.9751243781094527,0.48756218905472637,0.0,,,0,0,10,196,dataset\external_videos\incorrect\P07_incorrect_front_003.mp4,P07,front,1,206
0.76,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,0,210,dataset\external_videos\incorrect\P07_incorrect_side_30_001.mp4,P07,side_30,1,210
0.76,0.6218487394957983,1.0,0.6218487394957983,0.7668393782383419,0.38341968911917096,0.0,,,0,0,90,148,dataset\external_videos\incorrect\P07_incorrect_side_30_002.mp4,P07,side_30,1,238
0.76,0.29914529914529914,1.0,0.29914529914529914,0.4605263157894737,0.23026315789473684,0.0,,,0,0,164,70,dataset\external_videos\incorrect\P07_incorrect_side_90_001.mp4,P07,side_90,1,234
0.76,0.9552845528455285,1.0,0.9552845528455285,0.9771309771309772,0.4885654885654886,0.0,,,0,0,11,235,dataset\external_videos\incorrect\P07_incorrect_side_90_002.mp4,P07,side_90,1,246
