model_id,algorithm,feature_set,feature_count,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,brier_score,train_seconds,predict_seconds
random_forest__ergonomic_14,random_forest,ergonomic_14,14,0.8215539947322212,0.7946549391069012,0.9193737769080235,0.8524768644529124,0.813353122590244,0.6404798127058315,0.8222463132425959,0.8487078971047015,0.18574951712028098,1.29,0.059
logistic_regression__ergonomic_14,logistic_regression,ergonomic_14,14,0.8353819139596137,0.9474467030242935,0.7479452054794521,0.8359580052493438,0.8353798836819406,0.6943873686836851,0.922632421558301,0.9335018319332136,0.11380273422149549,0.036,0.002
random_forest__normalized_99,random_forest,normalized_99,99,0.771729587357331,0.7484421121679239,0.8931506849315068,0.814418272662384,0.7589765251567335,0.5377984623689392,0.8584588332057064,0.8855171233598889,0.17323110798946442,4.31,0.074
hist_gradient_boosting__ergonomic_14,hist_gradient_boosting,ergonomic_14,14,0.7912642669007902,0.8244336569579288,0.7976516634050881,0.8108215635567934,0.789009312990147,0.5785523796836214,0.8441961015578315,0.8601501082934491,0.1724463807337516,0.368,0.017
hist_gradient_boosting__combined_normalized_ergonomic,hist_gradient_boosting,combined_normalized_ergonomic,113,0.7769973661106233,0.8054783644303295,0.7941291585127201,0.7997635001970832,0.7740768962104783,0.5482526340289807,0.8121348327793051,0.8477773565772204,0.19062769496193022,1.229,0.015
random_forest__combined_raw_ergonomic,random_forest,combined_raw_ergonomic,113,0.6935908691834943,0.6494712406499871,0.9855185909980431,0.7829601990049752,0.6310323383084577,0.42693885130443904,0.7829556845843223,0.8086047965065893,0.2227361685689201,4.883,0.084
random_forest__raw_99,random_forest,raw_99,99,0.6927129060579456,0.6491862567811935,0.9835616438356164,0.7821350762527233,0.6304569647831003,0.4233708348957782,0.7320169660766486,0.7378966359091417,0.2226142651448639,3.933,0.062
svm_rbf__combined_normalized_ergonomic,svm_rbf,combined_normalized_ergonomic,113,0.7341966637401229,0.7245989304812834,0.8485322896281801,0.7816837930412835,0.7209961742205016,0.45650022317413796,0.7679756990389346,0.8108015814983454,0.21712377283475,7.928,0.354
hist_gradient_boosting__raw_99,hist_gradient_boosting,raw_99,99,0.6707638279192274,0.6306016340678385,0.9968688845401175,0.7725204731574158,0.5884047957526555,0.3931230590256163,0.5470257043689506,0.6002326946623171,0.31363872440985074,2.399,0.013
hist_gradient_boosting__normalized_99,hist_gradient_boosting,normalized_99,99,0.6738366988586479,0.6362477695641091,0.9769080234833659,0.770608212411238,0.6032236202526957,0.37846392387809225,0.7001851324826824,0.7640826499397857,0.3141268590712531,1.218,0.017
svm_rbf__normalized_99,svm_rbf,normalized_99,99,0.6661545215100966,0.6278437190900099,0.9937377690802348,0.7695105318987725,0.5821289229330711,0.37966471267324486,0.7915044434729797,0.8360693074063652,0.2883804810616682,9.111,0.368
hist_gradient_boosting__combined_raw_ergonomic,hist_gradient_boosting,combined_raw_ergonomic,113,0.6538630377524144,0.6188624210014584,0.9964774951076321,0.7635327635327636,0.5590074787782524,0.35693468186664895,0.8333107418893293,0.8700805099544091,0.317856673282971,1.221,0.015
random_forest__combined_normalized_ergonomic,random_forest,combined_normalized_ergonomic,113,0.7230026338893767,0.7683686176836861,0.7244618395303327,0.7457695406929895,0.720763266007054,0.44302781533826613,0.8270482175741876,0.8593533272727567,0.1762726251097454,5.357,0.073
svm_rbf__combined_raw_ergonomic,svm_rbf,combined_raw_ergonomic,113,0.5970149253731343,0.5818720109314507,1.0,0.7356752087532393,0.4440148896951792,0.21904440343571077,0.6628161457431754,0.7297297547955169,0.3782121584069096,6.986,0.281
mlp_sklearn__raw_99,mlp_sklearn,raw_99,99,0.5838454784899034,0.5740283082453381,1.0,0.7293748215815016,0.41454496064830065,0.17355525192325694,0.5738641442488148,0.6043534563462026,0.39426053745162526,2.055,0.007
mlp_sklearn__combined_raw_ergonomic,mlp_sklearn,combined_raw_ergonomic,113,0.582089552238806,0.573592584218856,0.9929549902152642,0.7271424476927486,0.41746063340588696,0.1486590723614356,0.6469121603581771,0.6586925169001321,0.4080943309548975,3.834,0.009
svm_rbf__raw_99,svm_rbf,raw_99,99,0.5755048287971906,0.569169079973268,1.0,0.7254400908574673,0.39511849803995225,0.13804939464345278,0.6459320242031625,0.689480747784215,0.4089152956877206,6.138,0.311
logistic_regression__combined_normalized_ergonomic,logistic_regression,combined_normalized_ergonomic,113,0.7506584723441615,0.9720558882235529,0.5718199608610568,0.7200591424346969,0.7476433424876294,0.5814254647056674,0.7755198721578545,0.856830782015007,0.2396188960731401,0.749,0.007
svm_rbf__ergonomic_14,svm_rbf,ergonomic_14,14,0.6174275680421423,0.6920529801324503,0.5726027397260274,0.6266866566716641,0.6171920791798564,0.24606907659886826,0.6977272616138115,0.7783555400019533,0.2918500488037931,4.487,0.469
logistic_regression__combined_raw_ergonomic,logistic_regression,combined_raw_ergonomic,113,0.6817383669885865,0.9734361610968295,0.4446183953033268,0.6104245029554003,0.670703902683637,0.48790217677952097,0.7653582210851522,0.8406184258764864,0.2987453835743107,0.517,0.008
mlp_sklearn__normalized_99,mlp_sklearn,normalized_99,99,0.6330114135206322,0.8001359619306594,0.46066536203522507,0.5846994535519126,0.6279769387303409,0.33300698421854175,0.6302561048243002,0.7623737518112679,0.34483784760293207,3.93,0.008
mlp_sklearn__ergonomic_14,mlp_sklearn,ergonomic_14,14,0.5856014047410009,0.6695475343162176,0.5154598825831702,0.5824856258292791,0.5855783248972104,0.19099610020707922,0.6207993850432905,0.6813166288390626,0.39044513732430075,2.722,0.003
mlp_sklearn__combined_normalized_ergonomic,mlp_sklearn,combined_normalized_ergonomic,113,0.5840649692712906,0.8055555555555556,0.3405088062622309,0.4786795048143054,0.5663435866229642,0.2748977216978264,0.5989847541982434,0.7259167151070995,0.40358899665892567,2.815,0.008
logistic_regression__raw_99,logistic_regression,raw_99,99,0.521729587357331,0.6189873417721519,0.3827788649706458,0.47303506650544136,0.5176105611811916,0.08543054553135751,0.5218627476868218,0.5456667725648685,0.3980659638271125,0.812,0.006
logistic_regression__normalized_99,logistic_regression,normalized_99,99,0.44073748902546095,0.6129032258064516,0.007436399217221135,0.014694508894044857,0.31212813094104636,0.008689797731403326,0.4019667270083158,0.5032872692411983,0.5449956186312177,0.675,0.006
