held_out_participant,algorithm,feature_set,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,train_rows,test_rows,train_seconds,predict_seconds
P01,Logistic Regression,combined,0.815550510783201,0.9603680113234253,0.6955407483341876,0.8067776456599287,0.815169496011289,0.6693946565779154,0.8916906680291425,0.920152476991023,7498,3524,0.197,0.014
P01,KNN,combined,0.8393870601589103,0.8840820854132002,0.8170169144028703,0.8492274906766116,0.8386999627032117,0.680386816775672,0.8661688481594356,0.8535956322241376,7498,3524,0.025,1.521
P01,SVM RBF,combined,0.8725879682179342,0.9513221153846154,0.8113787801127627,0.8757952973720609,0.8725029501716115,0.7566719440805003,0.945855109430898,0.9592187823405558,7498,3524,1.528,0.248
P01,Random Forest,combined,0.7959704880817253,0.7583892617449665,0.9267042542286007,0.8341407151095732,0.7845602211743958,0.5956380262567756,0.8860904949391041,0.914364680793934,7498,3524,2.064,0.115
P01,HistGradientBoosting,combined,0.8762769580022701,0.9577039274924471,0.8124038954382368,0.8790904048807543,0.8762099322486281,0.764884178388136,0.9497576185521762,0.963651994976816,7498,3524,1.611,0.043
P02,Logistic Regression,combined,0.9379591836734694,0.94579945799458,0.9509536784741145,0.9483695652173914,0.9353299768827243,0.8706815648512876,0.9722664639255926,0.98379309980408,9797,1225,0.425,0.009
P02,KNN,combined,0.7257142857142858,0.7741046831955923,0.7656675749318801,0.7698630136986301,0.7152345371523454,0.430533872846134,0.7744884765007187,0.8092837081090676,9797,1225,0.03,0.082
P02,SVM RBF,combined,0.8620408163265306,0.8781793842034806,0.8937329700272479,0.8858879135719109,0.8557406544123745,0.7116905378548443,0.9305066122077504,0.9649808513357647,9797,1225,2.955,0.112
P02,Random Forest,combined,0.8130612244897959,0.7741585233441911,0.9713896457765667,0.861631419939577,0.7867905527370841,0.621463985020652,0.8541318667902351,0.8985830715576372,9797,1225,3.076,0.101
P02,HistGradientBoosting,combined,0.7771428571428571,0.7835178351783518,0.8678474114441417,0.8235294117647058,0.7606019151846786,0.5283841793964629,0.8166645393652502,0.8659324948552459,9797,1225,1.728,0.024
P03,Logistic Regression,combined,0.8283514492753623,0.9599679743795037,0.7846858638743456,0.863521786100108,0.8161416130012438,0.6623549180144478,0.9121602633199878,0.9653824524526311,8814,2208,0.329,0.011
P03,KNN,combined,0.8410326086956522,0.9311355311355312,0.8318062827225131,0.8786726581403388,0.824103236489736,0.659063012609357,0.8698024137665537,0.9122645236749041,8814,2208,0.026,0.132
P03,SVM RBF,combined,0.8392210144927537,0.9210337401292176,0.8396596858638743,0.8784662786716878,0.8205040423458774,0.6485212165704057,0.8935604019094548,0.9577343657732181,8814,2208,2.207,0.174
P03,Random Forest,combined,0.7998188405797102,0.8135103926096998,0.9221204188481675,0.8644171779141104,0.74103211836882,0.5019531878262596,0.703563866646135,0.7760417610597958,8814,2208,2.554,0.102
P03,HistGradientBoosting,combined,0.8129528985507246,0.8486554096310194,0.8880890052356021,0.8679245283018868,0.7737605574015253,0.5497478682499432,0.8519595010779181,0.9243160471832799,8814,2208,1.468,0.032
P04,Logistic Regression,combined,0.7911845730027548,0.7106870229007634,1.0,0.8308790718429273,0.7790104502483175,0.6371750316836039,0.7214606490369426,0.5928434457837034,9207,1815,0.469,0.013
P04,KNN,combined,0.7581267217630854,0.75625,0.7798066595059077,0.7678476996298255,0.7577018831674142,0.5157918840143564,0.7781663272596488,0.7167574361590391,9207,1815,0.029,0.114
P04,SVM RBF,combined,0.8705234159779615,0.801038062283737,0.9946294307196563,0.8873981792046,0.867548733153823,0.7633797908103813,0.8677211775398419,0.8461008506097926,9207,1815,2.484,0.142
P04,Random Forest,combined,0.7267217630853995,0.6574945691527878,0.9752953813104189,0.7854671280276817,0.7045696793400927,0.5158654538542414,0.7422309004573491,0.620915184582889,9207,1815,2.806,0.102
P04,HistGradientBoosting,combined,0.7013774104683196,0.6320434487440597,1.0,0.7745424292845258,0.6662271689652646,0.494493272639831,0.7583948559180756,0.6206325049282916,9207,1815,1.569,0.032
P05,Logistic Regression,combined,0.8653333333333333,0.9451840250587314,0.8381944444444445,0.8884799411115201,0.8592708174430287,0.728382642184801,0.9373551097393691,0.9679283582067482,8772,2250,0.299,0.012
P05,KNN,combined,0.8502222222222222,0.9345941686367218,0.8236111111111111,0.8755998523440384,0.8437184074673849,0.6980382417120244,0.9187397119341564,0.9400537306335557,8772,2250,0.024,0.128
P05,SVM RBF,combined,0.8684444444444445,0.946875,0.8416666666666667,0.8911764705882353,0.8624421678783873,0.7344113664193945,0.8997205075445817,0.9465094034206967,8772,2250,2.06,0.18
P05,Random Forest,combined,0.7573333333333333,0.7964190981432361,0.8340277777777778,0.8147896879240163,0.7314927821063381,0.4645658248120712,0.8816632373113853,0.9350544698792551,8772,2250,2.519,0.102
P05,HistGradientBoosting,combined,0.7555555555555555,0.7677496991576414,0.8861111111111111,0.8226950354609929,0.7146379326088941,0.44745101274173804,0.8794041495198901,0.9379632855286317,8772,2250,1.543,0.035
