held_out_participant,algorithm,feature_set,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,train_rows,test_rows,train_seconds,predict_seconds
P01,Logistic Regression,raw,0.6489784335981839,0.9734748010610079,0.3762173244490005,0.5426987060998152,0.6289362745327536,0.44063111228118956,0.7317498679504177,0.8301922772361758,7498,3524,0.209,0.013
P01,KNN,raw,0.8337116912599319,0.8902229845626072,0.7980522808815992,0.8416216216216216,0.8332958765216829,0.6721106924770002,0.8748466481563728,0.8638957838649697,7498,3524,0.021,1.517
P01,SVM RBF,raw,0.8825198637911464,0.952857984678845,0.8288057406458227,0.8865131578947368,0.882374226006192,0.7739859821128375,0.9488364484869773,0.9488068883536332,7498,3524,1.632,0.267
P01,Random Forest,raw,0.7258796821793416,0.6927592954990215,0.9072270630445926,0.7856191744340879,0.7028017193964302,0.45445205686917184,0.7786402591397699,0.8236248317597433,7498,3524,1.693,0.101
P01,HistGradientBoosting,raw,0.6674233825198638,0.6496350364963503,0.866735007688365,0.7426438296003514,0.6363580014080346,0.3246639545739387,0.7895936131339888,0.8395798775345256,7498,3524,1.247,0.049
P02,Logistic Regression,raw,0.6563265306122449,0.6826137689614936,0.7970027247956403,0.7353865493400377,0.6226408881740934,0.25979844958138953,0.7887256724584759,0.8826748438638972,9797,1225,0.399,0.008
P02,KNN,raw,0.5559183673469388,0.6426426426426426,0.5831062670299727,0.6114285714285714,0.5466666666666666,0.09679611885802435,0.595569016132344,0.6965418809629702,9797,1225,0.023,0.07
P02,SVM RBF,raw,0.6946938775510204,0.6848049281314168,0.9087193460490464,0.7810304449648712,0.6384936591401176,0.34416881610260386,0.8133057154114663,0.8931399434061418,9797,1225,3.193,0.125
P02,Random Forest,raw,0.6334693877551021,0.629193109700816,0.9455040871934605,0.7555797495917257,0.5115582271612789,0.18412509767902618,0.7474167161495475,0.8611098972152325,9797,1225,2.64,0.102
P02,HistGradientBoosting,raw,0.7248979591836735,0.7007077856420627,0.944141689373297,0.804410911201393,0.6704310401949194,0.4240906106203229,0.7034995033213649,0.6979696935502616,9797,1225,1.323,0.022
P03,Logistic Regression,raw,0.7377717391304348,0.8411214953271028,0.7657068062827225,0.8016443987667009,0.7074354258362563,0.42139686275995497,0.8023791191869418,0.9188695707595612,8814,2208,0.365,0.01
P03,KNN,raw,0.7871376811594203,0.892433234421365,0.787303664921466,0.8365785813630042,0.7656918880840995,0.543482520860169,0.8035292192793348,0.865909994913371,8814,2208,0.022,0.109
P03,SVM RBF,raw,0.7894021739130435,0.8837545126353791,0.8010471204188482,0.8403707518022657,0.7654947571386579,0.5387506971682777,0.82467277486911,0.927226145037134,8814,2208,2.281,0.194
P03,Random Forest,raw,0.7441123188405797,0.797038864898211,0.8455497382198953,0.8205779612575421,0.6873213405340591,0.37799456211298116,0.6219418886664613,0.7288080094269412,8814,2208,2.253,0.104
P03,HistGradientBoosting,raw,0.7051630434782609,0.7834518422753717,0.7931937172774869,0.7882926829268293,0.6514170349757189,0.30295780853529586,0.716700993224515,0.8548949301170917,8814,2208,1.196,0.031
P04,Logistic Regression,raw,0.7983471074380165,0.7233201581027668,0.9828141783029001,0.8333333333333334,0.7890516039051604,0.6383054341409273,0.7478979446029423,0.6117888603550111,9207,1815,0.368,0.009
P04,KNN,raw,0.7509641873278237,0.7529039070749736,0.765843179377014,0.759318423855165,0.7506637781376282,0.5014444710414211,0.7621894911810878,0.7067564321566601,9207,1815,0.023,0.095
P04,SVM RBF,raw,0.8457300275482094,0.7737594617325484,0.9881847475832438,0.8679245283018868,0.841247032362864,0.7191287621484912,0.7830180655258054,0.6427031180643706,9207,1815,2.57,0.188
P04,Random Forest,raw,0.7371900826446282,0.6612215909090909,1.0,0.7960666951688756,0.7132928363528344,0.5517528500870527,0.763510262404557,0.7141925457349243,9207,1815,2.394,0.101
P04,HistGradientBoosting,raw,0.7983471074380165,0.7198443579766537,0.9935553168635876,0.8348375451263538,0.7879986876975474,0.6445295720058871,0.7617229077865963,0.7189847092115476,9207,1815,1.18,0.028
P05,Logistic Regression,raw,0.7088888888888889,0.8204081632653061,0.6979166666666666,0.7542213883677298,0.698636579742448,0.4108857306831183,0.7939060356652949,0.8904212058069543,8772,2250,0.442,0.011
P05,KNN,raw,0.7617777777777778,0.8837011884550084,0.7229166666666667,0.7952635599694423,0.7552300796659114,0.5322205779956986,0.8507990397805213,0.9008587119295017,8772,2250,0.024,0.111
P05,SVM RBF,raw,0.8048888888888889,0.8608507570295602,0.8291666666666667,0.844711708524938,0.7911544197137541,0.5832980003184173,0.878590534979424,0.9328765637588154,8772,2250,2.433,0.221
P05,Random Forest,raw,0.7168888888888889,0.7667774086378738,0.8013888888888889,0.7837011884550085,0.6870274431021023,0.37539695594736683,0.8361865569272977,0.9137617044072757,8772,2250,2.252,0.1
P05,HistGradientBoosting,raw,0.6742222222222222,0.7321076822061721,0.7743055555555556,0.7526155923050962,0.6378562672000432,0.27773931671842955,0.8159336419753086,0.8939426159838362,8772,2250,1.216,0.032
